,id,passorfail
0,73612,0.0
1,73613,0.0
2,73614,0.0
3,73615,0.0
4,73616,0.0
5,73617,0.0
6,73618,0.0
7,73619,0.0
8,73620,0.0
9,73621,0.0
10,73622,0.0
11,73623,0.0
12,73624,0.0
13,73625,0.0
14,73626,0.0
15,73627,0.0
16,73628,0.0
17,73629,0.0
18,73630,0.0
19,73631,0.0
20,73632,0.0
21,73633,0.0
22,73634,0.0
23,73635,0.0
24,73636,0.0
25,73637,0.0
26,73638,0.0
27,73639,0.0
28,73640,0.0
29,73641,0.0
30,73642,0.0
31,73643,0.0
32,73644,0.0
33,73645,0.0
34,73646,0.0
35,73647,0.0
36,73648,0.0
37,73649,0.0
38,73650,0.0
39,73651,0.0
40,73652,0.0
41,73653,0.0
42,73654,0.0
43,73655,0.0
44,73656,0.0
45,73657,0.0
46,73658,0.0
47,73659,0.0
48,73660,0.0
49,73661,0.0
50,73662,0.0
51,73663,0.0
52,73664,0.0
53,73665,0.0
54,73666,0.0
55,73667,0.0
56,73668,0.0
57,73669,0.0
58,73670,0.0
59,73671,0.0
60,73672,0.0
61,73673,0.0
62,73674,0.0
63,73675,0.0
64,73676,0.0
65,73677,0.0
66,73678,0.0
67,73679,0.0
68,73680,0.0
69,73681,0.0
70,73682,0.0
71,73683,0.0
72,73684,1.0
73,73685,1.0
74,73686,1.0
75,73687,1.0
76,73688,1.0
77,73689,1.0
78,73690,1.0
79,73691,1.0
80,73692,1.0
81,73693,1.0
82,73694,1.0
83,73695,1.0
84,73696,0.0
85,73697,1.0
86,73698,0.0
87,73699,0.0
88,73700,1.0
89,73701,0.0
90,73702,0.0
91,73703,0.0
92,73704,0.0
93,73705,0.0
94,73706,0.0
95,73707,0.0
96,73708,0.0
97,73709,0.0
98,73710,0.0
99,73711,0.0
100,73712,0.0
101,73713,0.0
102,73714,0.0
103,73715,0.0
104,73716,0.0
105,73717,0.0
106,73718,0.0
107,73719,0.0
108,73720,0.0
109,73721,0.0
110,73722,0.0
111,73723,0.0
112,73724,0.0
113,73725,0.0
114,73726,0.0
115,73727,0.0
116,73728,0.0
117,73729,0.0
118,73730,0.0
119,73731,0.0
120,73732,0.0
121,73733,0.0
122,73734,0.0
123,73735,0.0
124,73736,0.0
125,73737,0.0
126,73738,0.0
127,73739,0.0
128,73740,0.0
129,73741,0.0
130,73742,0.0
131,73743,0.0
132,73744,0.0
133,73745,0.0
134,73746,0.0
135,73747,0.0
136,73748,0.0
137,73749,0.0
138,73750,0.0
139,73751,0.0
140,73752,0.0
141,73753,0.0
142,73754,0.0
143,73755,0.0
144,73756,0.0
145,73757,0.0
146,73758,0.0
147,73759,0.0
148,73760,0.0
149,73761,0.0
150,73762,0.0
151,73763,0.0
152,73764,0.0
153,73765,0.0
154,73766,0.0
155,73767,0.0
156,73768,0.0
157,73769,0.0
158,73770,0.0
159,73771,0.0
160,73772,0.0
161,73773,0.0
162,73774,0.0
163,73775,0.0
164,73776,0.0
165,73777,0.0
166,73778,0.0
167,73779,0.0
168,73780,0.0
169,73781,0.0
170,73782,0.0
171,73783,0.0
172,73784,0.0
173,73785,0.0
174,73786,0.0
175,73787,0.0
176,73788,0.0
177,73789,0.0
178,73790,0.0
179,73791,0.0
180,73792,0.0
181,73793,0.0
182,73794,0.0
183,73795,0.0
184,73796,0.0
185,73797,0.0
186,73798,0.0
187,73799,0.0
188,73800,0.0
189,73801,0.0
190,73802,0.0
191,73803,0.0
192,73804,0.0
193,73805,0.0
194,73806,0.0
195,73807,0.0
196,73808,0.0
197,73809,0.0
198,73810,0.0
199,73811,0.0
200,73812,0.0
201,73813,0.0
202,73814,0.0
203,73815,0.0
204,73816,0.0
205,73817,0.0
206,73818,0.0
207,73819,0.0
208,73820,0.0
209,73821,0.0
210,73822,0.0
211,73823,0.0
212,73824,0.0
213,73825,0.0
214,73826,0.0
215,73827,0.0
216,73828,0.0
217,73829,0.0
218,73830,0.0
219,73831,0.0
220,73832,0.0
221,73833,0.0
222,73834,0.0
223,73835,0.0
224,73836,0.0
